item_name,price,availability,color,type,case,range,frets,body_material,ukulele_type,fretboard_material,fingerboard_material,url
VESTON KUS 15BK,2140,В наличии,Черный,Без звукоснимателя,,13,13,Липа,Сопрано,Искусственное черное дерево,Липа,https://www.muztorg.ru/product/A067997#characteristics
FLIGHT NUC 310,4210,В наличии,Натуральный,Без звукоснимателя,Чехол,15,18,Сапеле,Концерт,Палисандр,Окоуме,https://www.muztorg.ru/product/A053547#characteristics
KALA Learn To Play Color Chord,3600,В наличии,Черный,Без звукоснимателя,Чехол,13.7,12,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A081052#characteristics
FLIGHT DUS 320 SP/ZEB,5290,В наличии,Натуральный,Без звукоснимателя,Чехол,13.6,12,Зебрано,Сопрано,Палисандр,Окоуме,https://www.muztorg.ru/product/A053545#characteristics
WIKI UK10S NA,2298,В наличии,Натуральный,Без звукоснимателя,Чехол,13.6,12,Клен,Сопрано,,,https://www.muztorg.ru/product/A053783#characteristics
WATERMAN by KALA KA-SWB-BK Matte Black Sorpano Ukulele,3100,В наличии,Черный,Без звукоснимателя,,13.7,12,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A081038#characteristics
FLIGHT TUS 40 GRAFFITI,2960,В наличии,Синий,Без звукоснимателя,,,15,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A089230#characteristics
VESTON KUS 15WH,1960,В наличии,Белый,Без звукоснимателя,,13,13,Липа,Сопрано,Искусственное черное дерево,Ламинат,https://www.muztorg.ru/product/A082458#characteristics
ENYA EUS-20,4490,В наличии,Коричневый,Без звукоснимателя,Чехол,13,18,Сапеле,Сопрано,Tech-Ebony,Красное дерево,https://www.muztorg.ru/product/A076764#characteristics
WATERMAN by KALA KA-SWT Waterman Translucent Soprano Ukulele,3100,В наличии,Прозрачный белый,Без звукоснимателя,,13.7,12,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A081049#characteristics
FLIGHT NUT 310,5590,В наличии,Натуральный,Без звукоснимателя,Чехол,,,Сапеле,Тенор,Палисандр,Окоуме,https://www.muztorg.ru/product/A061437#characteristics
FLIGHT NUS 350 DC,3800,В наличии,Натуральный,Без звукоснимателя,Чехол,13,12,Сапеле,Сопрано,Палисандр,Окоуме,https://www.muztorg.ru/product/A072851#characteristics
VESTON KUS 25 BUNNY,2350,В наличии,Белый,Без звукоснимателя,,13,13,Липа,Сопрано,Искусственное черное дерево,Ламинат,https://www.muztorg.ru/product/A084501#characteristics
WIKI UK/REBEL/CCCP,2931,В наличии,Рисунок,Без звукоснимателя,Чехол,13.6,12,Липа,Сопрано,,,https://www.muztorg.ru/product/A060150#characteristics
ENYA EUC-20,5190,В наличии,Красный,Без звукоснимателя,Чехол,15,18,Сапеле,Концерт,Tech-Ebony,Красное дерево,https://www.muztorg.ru/product/A076765#characteristics
"WATERMAN by KALA KA-CWB-BK Kala Waterman Black, Matte, Concert Ukulele w/Bag",3700,В наличии,Черный,Без звукоснимателя,Чехол,13.7,18,Пластик,Концерт,Пластик,Пластик,https://www.muztorg.ru/product/A081050#characteristics
FENDER UKULELE VENICE-BLACK,5600,В наличии,Черный,Без звукоснимателя,,13.6,12,Ламинат,Сопрано,Ламинат,Нато,https://www.muztorg.ru/product/A072669#characteristics
WATERMAN by KALA KA-SWB-PK Soft Pink Matte Soprano Ukulele,3100,В наличии,Розовый,Без звукоснимателя,,13.7,12,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A081040#characteristics
VESTON KUS 15GR,2140,В наличии,Зеленый,Без звукоснимателя,,13,13,Липа,Сопрано,Искусственное черное дерево,Ламинат,https://www.muztorg.ru/product/A073422#characteristics
FLIGHT TUS 40 GRANADA,2960,В наличии,Желтый,Без звукоснимателя,,,15,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A089231#characteristics
VESTON KUS 15YW,2140,В наличии,Желтый,Без звукоснимателя,,13,13,Липа,Сопрано,Искусственное черное дерево,Ламинат,https://www.muztorg.ru/product/A073424#characteristics
FLIGHT TUS 21P BLACK FOREST,2960,В наличии,Черный,Без звукоснимателя,,,15,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A089228#characteristics
FLIGHT DUC 325 SP/ZEB,6410,В наличии,Натуральный,Без звукоснимателя,Чехол,15,18,Зебрано,Концерт,Палисандр,Окоуме,https://www.muztorg.ru/product/A053541#characteristics
FLIGHT NUP 310,3800,В наличии,Натуральный,Без звукоснимателя,Чехол,13,12,Сапеле,Сопрано,Палисандр,Окоуме,https://www.muztorg.ru/product/A084500#characteristics
FLIGHT TUS 50,2960,В наличии,Натуральный,Без звукоснимателя,Чехол,13,15,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A076179#characteristics
FLIGHT TUS 35 DB,2550,В наличии,Синий,Без звукоснимателя,Чехол,13,15,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A073415#characteristics
